Title,Author,Publish Date,Keywords,URL,First Name,Gender
Greater Boston community celebrates 40 years of St. Stephen’s Armenian Elementary School,Kristina Ayanian,2024-12-04,"school, slideshow, stephens, education, armenian, schools, ssaes, boston, elementary, boyamian, community, greater, st, celebrates, 40",https://armenianweekly.com/2024/12/04/greater-boston-community-celebrates-40-years-of-st-stephens-armenian-elementary-school/,Kristina,female
Memorializing the “lost” villages of Western Armenia,Lilly Torosyan,2024-11-26,"memory, lini, books, lost, memorializing, mouradian, talk, armenian, book, village, armenia, villages, western",https://armenianweekly.com/2024/11/26/memorializing-the-lost-villages-of-western-armenia/,Lilly,female
Celebrating the legacy and future of Armenian journalism,Ani Zargarian,2024-11-26,"future, legacy, slideshow, celebrating, evening, publications, hairenik, requires, media, weekly, armenian, community, journalism",https://armenianweekly.com/2024/11/26/celebrating-the-legacy-and-future-of-armenian-journalism/,Ani,female
"Dedication and blessing of the new Armenian Heritage Monument in Whitinsville, Massachusetts",Victoria Atamian Waterman,2024-11-20,"dedication, whitinsville, massachusetts, support, state, armenians, armenian, heritage, blessing, visit, vision, monument, 2024, community",https://armenianweekly.com/2024/11/20/dedication-and-blessing-of-the-new-armenian-heritage-monument-in-whitinsville-massachusetts/,Victoria,female
Unveiling the Komitas statue in Watertown,Pauline Getzoyan,2024-11-13,"statue, unveiling, rev, armenian, music, tahanian, community, tarakdjian, komitas, watertown, fr, dr",https://armenianweekly.com/2024/11/13/unveiling-the-komitas-statue-in-watertown/,Pauline,female
Catholicos Aram I reinvigorates the community during visit to Greater Boston,Tamar Kanarian,2024-11-12,"school, stephens, visit, armenian, holiness, st, aram, community, reinvigorates, boston, church, catholicos, greater, vehapar",https://armenianweekly.com/2024/11/12/catholicos-aram-i-reinvigorates-the-community-during-visit-to-greater-boston/,Tamar,female
Pontifical visit to Illinois a time of reflection and inspiration,Knarik O. Meneshian,2024-11-06,"saints, spoke, pontifical, apostolic, visit, illinois, armenian, holiness, reflection, armenians, aram, inspiration, church, armenia, catholicos",https://armenianweekly.com/2024/11/06/pontifical-visit-to-illinois-a-time-of-reflection-and-inspiration/,Knarik,female
USC symposium raises voices for Artsakh,Talar Keoseyan,2024-11-06,"panel, symposium, narrative, usc, voices, armenian, armenians, trauma, raises, human, called, artsakh, rights, dr",https://armenianweekly.com/2024/11/06/usc-symposium-raises-voices-for-artsakh/,Talar,female
USC Institute of Armenian Studies to host Artsakh Uprooted: Aftermaths of Displacement,Lillian Avedian,2024-10-25,"host, world, karapetian, symposium, displacement, usc, armenian, aftermaths, voices, academic, arts, institute, uprooted, artsakh, studies, dr",https://armenianweekly.com/2024/10/25/usc-institute-of-armenian-studies-to-host-artsakh-uprooted-aftermaths-of-displacement/,Lillian,female
Catholicos Aram I leaves RI Armenian community renewed and inspired,Pauline Getzoyan,2024-10-16,"inspired, need, providence, renewed, visit, armenian, holiness, catholicos, aram, island, church, leaves, community, rhode, ri",https://armenianweekly.com/2024/10/16/catholicos-aram-i-leaves-ri-armenian-community-renewed-and-inspired/,Pauline,female
Daron Acemoglu awarded the Nobel Prize in economics,Lillian Avedian,2024-10-15,"economics, prize, institutions, countries, laureates, economic, daron, prosperity, awarded, power, things, times, acemoglu, nobel",https://armenianweekly.com/2024/10/15/daron-acemoglu-awarded-the-nobel-prize-in-economics/,Lillian,female
Catholicos Aram I begins eastern region tour in Rhode Island,Pauline Getzoyan,2024-10-09,"providence, begins, region, tour, visit, holiness, armenian, catholicos, aram, island, church, eastern, rhode, began",https://armenianweekly.com/2024/10/09/catholicos-aram-i-begins-eastern-region-tour-in-rhode-island/,Pauline,female
Pontifical visit in the “Season of the Holy Cross”,Knarik O. Meneshian,2024-10-02,"chicago, founded, saints, season, khachkar, cross, pontifical, apostolic, visit, armenian, holiness, holy, armenians, aram, church",https://armenianweekly.com/2024/10/02/pontifical-visit-in-the-season-of-the-holy-cross/,Knarik,female
Laura Murvartian is running for Georgia State Representative,Lillian Avedian,2024-08-20,"left, georgia, murvartian, running, family, state, armenian, history, laura, representative, community, mexico, supporting, country",https://armenianweekly.com/2024/08/20/laura-murvartian-is-running-for-georgia-state-representative/,Lillian,female
The national battle over LGBTQ instruction comes to Armenian schools,Lillian Avedian,2024-07-24,"school, queer, felt, students, comes, national, armenian, schools, public, children, battle, community, instruction, lgbtq",https://armenianweekly.com/2024/07/24/the-national-battle-over-lgbtq-instruction-comes-to-armenian-schools/,Lillian,female
Homenetmen Florida chapter celebrates a championship comeback,Tamar Kassarjian,2024-07-17,"chapter, homenetmen, soccer, championship, requires, basketball, comeback, florida, tokatlianmaltez, victory, kochkerian, murphy, athletes, slideshow, celebrates",https://armenianweekly.com/2024/07/17/homenetmen-florida-chapter-celebrates-a-championship-comeback/,Tamar,female
RI Senator David Tikoian announces candidacy for re-election,Pauline Getzoyan,2024-07-16,"tikoian, providence, smithfield, state, senator, reelection, announces, armenian, david, island, district, community, rhode, candidacy, ri",https://armenianweekly.com/2024/07/16/ri-senator-david-tikoian-announces-candidacy-for-re-election/,Pauline,female
Sima Setian Pariseau and son Dylan Pariseau remembered following tragic deaths,Lillian Avedian,2024-06-25,"pariseau, remembered, sima, deaths, simas, love, gregory, son, following, family, armenian, setian, dylan, thats, church, tragic, st",https://armenianweekly.com/2024/06/25/sima-setian-pariseau-and-son-dylan-pariseau-remembered-following-tragic-deaths/,Lillian,female
Anti-Armenian drawing at Winchester High School prompts two students to take action,Lillian Avedian,2024-06-05,"student, school, high, hopkinson, students, presentation, armenian, antiarmenian, kebadjian, winchester, action, hate, prompts, incident, drawing",https://armenianweekly.com/2024/06/05/anti-armenian-drawing-at-winchester-high-school-prompts-two-students-to-take-action/,Lillian,female
